ticker_id;price;div_yield;mkt_cap;p_e;price_rev;p_b;ev_ebitda;ev;chg;weekly_perf;monthly_perf;three_month_perf;six_month_perf;ytd_perf;yearly_perf;one_y_beta;volatility
TAL1T;0.662;;411308;9.68;0.43;0.4815;8.01;1160000;0.0195;-0.0063;-0.3129;-0.3485;-0.3362;-0.3566;-0.3843;1.26;0.0225
TSM1T;1.67;0.0859;410280;9.36;3.14;1.38;9.39;694718;0.016;0.0292;-0.168;-0.2035;-0.1954;-0.2015;-0.2696;1.04;0.016
TKM1T;7.66;0.0966;339682;10.91;0.47;1.59;7.88;526185;0.0106;-0.0821;-0.1611;-0.1556;-0.0663;-0.1461;-0.1364;0.56;0.016
LHV1T;10.45;0.0197;274298;10.71;2.84;1.7;-19.04;-816729;0.0633;0.0354;-0.2176;-0.1598;-0.1458;-0.1458;-0.042;1.23;0.0676
TVEAT;11.75;0.0644;233000;8.39;3.67;2.03;6.77;261764;-0.0043;-0.0128;-0.0413;0.0043;0.0642;-0.0085;0.0741;0.51;0.0086
MRK1T;7.4;0.0912;116466;7.16;0.36;1.27;10.78;209220;0.0578;-0.0029;-0.2564;-0.2825;-0.2418;-0.258;-0.2998;1.08;0.0571
HAE1T;3.79;0.05;64041;26.03;0.45;1.11;13.01;88898;0.0111;0.0028;-0.1122;-0.1839;-0.1271;-0.1354;-0.2587;0.98;0.0111
PKG1T;0.74;;38264;;0.69;1.11;21.74;191237;0.0074;-0.0423;-0.3704;-0.5108;-0.4887;-0.5108;-0.5802;1.07;0.0303
NCN1T;0.875;;26484;7.45;0.11;0.86;;;0.0364;0.024;-0.2083;-0.1699;-0.1186;-0.1699;-0.1094;1.11;0.0788
EEG1T;0.62;;19208;13.78;0.28;0.48;7.16;45363;-0.0543;0;-0.2651;-0.2606;-0.2179;-0.2606;-0.3679;0.8;0.0932
ARC1T;1.03;0.0105;8683;25.87;0.69;0.77;21.62;22381;0.0521;0.0521;-0.1721;-0.1368;-0.0472;-0.114;-0.1062;1.23;0.1204
BLT1T;0.098;;5300;;0.13;4.4764;6.74;29035;-0.006;0.0421;-0.1951;-0.2721;-0.2326;-0.2667;-0.8783;0.82;0.0081
CPA1T;0.973;;101000;15.78;3.89;1.54;;;0.01994;0.003728606;-0.235938959;-0.254886365;-0.204826025;-0.24482;-0.31947115;1.1119236;0.0503837
EFT1T;14.7;0.0693;76000;6.68;5.45;0.81;;;0.01773;0.003316353;-0.209852367;-0.226704853;-0.182179435;-0.21775;-0.28414882;0.9889837;0.0448131
PRF1T;0.4;;14696;;0.1743;0.6914;12.1007;35737;0.01747;0.003266667;-0.206708333;-0.223308333;-0.17945;-0.21449;-0.27989167;0.9741667;0.0441417
SFG1T;1.535;0.214286;50400;4.6964;0.8851;1.9146;4.8218;85090;0.01892;0.003538522;-0.223910808;-0.241892276;-0.194384008;-0.23234;-0.30318453;1.0552378;0.0478152
