ticker_id;current_ratio;debt_to_equity;net_debt;quick_ratio;assets;debt;current_assets;eps_fy;eps_ttm;eps_diluted_ttm;ebitda;gross_profit_mrq;gross_profit_fy;revenue;eps_diluted_fy;annual_revenue;income;gross_mrq;operating_mrq;pretax_mrq;net_mrq;div_paid;div_per_share;roa;roe;shares
TAL1T;0.51;0.69;526584;0.36;1564000;564821;139767;0.06;0.06;0.06;157691;86682;175469;949723;0.06;949723;40049;0.2027;0.0691;0.0544;0.0448;-20096;0.12;0.0274;0.0507;669882
TSM1T;1.48;0.55;172663;1.47;625532;207846;46347;0.17;0.17;0.17;73999;8928;50963;130536;0.17;130536;44404;0.4382;0.3904;0.3825;0.3402;-34970;;0.0711;0.1193;263000
TKM1T;1;0.9;163695;0.41;522313;204324;135838;0.76;0.76;0.76;66783;23752;83647;717223;0.76;717223;31137;0.1127;0.0504;0.0522;0.0434;-28917;0.73;0.0667;0.1373;40729
LHV1T;0;0.49;-1171000;;3032000;100643;;0.91;0.92;0.9;42163;18528;69422;98612;0.89;98612;24797;0.7074;0.3179;0.3179;0.2515;-5463;0.19;0.0105;0.1399;28454
TVEAT;5.48;0.8;27764;5.44;262855;92539;72518;1.39;1.39;1.39;34025;7796;33264;63423;1.39;63423;27760;0.5245;0.4402;0.4936;0.4377;-14965;;0.1083;0.2543;20000
MRK1T;2.44;0.47;38977;0.76;281827;63726;241492;0.92;0.92;0.92;20053;13924;34821;326779;0.92;326779;16270;0.1099;0.0538;0.0568;0.0498;-17772;;0.059;0.1242;17700
HAE1T;1.46;0.29;14328;0.88;107899;19206;48012;0.14;0.14;0.14;6827;3995;17356;143397;0.14;143397;2460;0.1272;0.0231;0.0222;0.0172;-3193;;0.0239;0.0367;17740
PKG1T;0;1.71;112014;0;210821;122630;;-0.47;-0.47;-0.47;9229;4054;15749;55353;-0.47;55353;-26915;0.285;-0.0887;-0.5263;-0.4863;;;-0.1181;-0.3179;56688
NCN1T;1.01;0.84;20352;0.68;118601;27384;68503;0.11;0.11;0.11;;4042;11763;233508;0.11;233508;3367;0.0592;0.0177;0.0185;0.0144;-2360;;0.0302;0.1084;31529
EEG1T;0.9;0.47;20695;0.76;95407;24342;19472;0.05;0.05;0.05;6332;5025;11744;67456;0.05;67456;1394;0.1988;0.0335;0.0281;0.0207;;;0.0162;0.0273;29779
ARC1T;0;0.93;11450;;28754;12320;;0.04;0.04;0.04;1084;1451;1921;13246;0.04;13246;388;0.1557;0.0289;0.0289;0.0289;-90;;0.0125;0.0298;8998
BLT1T;0.76;18.29;21734;0.08;27319;21998;8557;-0.16;-0.33;-0.33;4699;2963;12893;39711;-0.16;39711;-5909;0.3247;-0.0739;-0.1486;-0.1488;;;-0.2792;-9.3039;54080
CPA1T;0;0;;;446280;;;;;;;;;19900;0.05;19900;;;;;0.2389;;;0.0116;0.1008;89456
EFT1T;0;0;;;132830;;;;2.05;2.05;;9180;;9510;2.05;9510;7740;0.9654;;;0.8134;;;0.0641;0.1272;4222
PRF1T;0.8648;0.8772;17770;0.3471;60493;20450;;-0.0387;-0.0204;-0.0204;3058;4208;11429;85727;-0.0387;85727;-1458;0.1279;0.0033;-0.0036;-0.009;377;;-0.012;-0.0328;37683
SFG1T;2.6722;0.2923;3543;0.7649;46309;8695;;0.3;0.2981;0.2981;7647;6994;29651;56943;0.3;56943;10663;0.5673;0.2345;0.2666;0.1873;-7710;;0.2323;0.3965;36000
