id;ticker;company;last_price;chg_percentage;chg;rating;volume;mkt_cap;p_e;eps;employees;sector
1;TVEAT;TALLINNA VESI;12.85;0;0;Buy;4.731;257;;1.39;;Utilities
2;TSM1T;TALLINNA SADAM;2.11;-1.40;-0.03;Buy;37.167;562.82;12.63;0.17;;Transportation
3;TPD1T;TRIGON PROPERTY DEVELOPMENT;0.478;1.7;0.008;Sell;2.628;2.115;;-0.01;;Consumer Durables
4;TKM1T;TALLINNA KAUBAMAJA GRUPP;9.16;0.22;0.02;Buy;37.715;372.265;11.96;0.76;;Retail Trade
5;TAL1T;TALLINK GRUPP;0.992;-0.40;-0.004;Buy;198.69;667.202;15.71;0.06;;Transportation
6;SKN1T;NORDIC FIBREBOARD;0.404;-2.42;-0.010;Strong Sell;38;1.863;;-0.38;216;Consumer Durables
7;SFG1T;SILVANO FASHION GROUP;2.19;-0.90;-0.02;Strong Sell;139.957;79.56;7.78;0.28;;Consumer Non-Durables
8;PRF1T;PRFOODS;0.514;5.98;0.029;Strong Buy;17.389;18.276;;-0.03;345;Consumer Non-Durables
9;PKG1T;PRO KAPITAL GRUPP;1.17;-0.85;-0.01;Sell;5.298;66.892;5.69;0.21;;Finance
10;NCN1T;NORDECON;1.18;-1.67;-0.02;Buy;19.195;37.834;10.64;0.11;;Industrial Services
11;MRK1T;MERKO EHITUS;10.05;-1.47;-0.15;Sell;24.376;180.54;11.10;0.92;;Industrial Services
12;LINDA;LINDA NEKTAR;5.2;0;0;Buy;423;8.191;;-0.03;;Distribution Services
13;LHV1T;LHV GROUP;14.55;-0.68;-0.10;Buy;5.541;416.853;16.27;0.92;;Finance
14;HAE1T;HARJU ELEKTER;4.89;0;0;Buy;4.376;86.748;27.82;0.18;736;Producer Manufacturing
15;EEG1T;EKSPRESS GRUPP;0.845;0;0;Buy;466;25.164;;-0.02;;Consumer Services
16;CPA1T;COOP PANK;1.206;0.5;0.006;Buy;110.451;;;;;Finance
17;BLT1T;BALTIKA;0.1385;0.36;0.0005;Sell;2.222;7.463;;-0.50;975;Consumer Non-Durables
18;ARC1T;ARCO VARA;1.34;2.29;0.03;Strong Buy;3.03;11.788;35.12;0.04;;Finance
